name,related_item
00000000000001,S3WLM1
00000000000002,S3WLM2
00000000000003,S3WLM3
00000000000004,S3WLM4
00000000000005,S3WLM5
00000000000006,S3WLM6
00000000000007,S3WLM7
00000000000008,S3WLM8
00000000000009,S3DIB1
00000000000010,S3IPAD1
00000000000011,CYMWK1
00000000000012,CYMWK2
00000000000013,CYMWK3
00000000000014,CYMWK4
00000000000015,CYMWK5
00000000000016,S3SM1
00000000000017,S3SM2
00000000000018,S3SM3
00000000000019,LESDIB1
00000000000020,LESDIB2
00000000000021,LESDIB3
